Trust_Name,Staff_Group,UK_Staff_FTE,Overseas_Staff_FTE,Vacancies_FTE
Gloucestershire Health and Care NHS Foundation Trust,Nurses & Midwives,904.7,400.6,13.5
Gloucestershire Health and Care NHS Foundation Trust,Support Staff,2360.1,477.4,32.1
Gloucestershire Hospitals NHS Foundation Trust,Doctors,684.0,406.1,10.4
Gloucestershire Hospitals NHS Foundation Trust,Nurses & Midwives,1671.2,740.0,25.0
Gloucestershire Hospitals NHS Foundation Trust,Support Staff,3662.5,740.9,49.8
Great Ormond Street Hospital for Children NHS Foundation Trust,Doctors,484.7,287.8,7.4
Great Ormond Street Hospital for Children NHS Foundation Trust,Nurses & Midwives,1131.4,500.9,16.9
Great Ormond Street Hospital for Children NHS Foundation Trust,Support Staff,2694.5,545.0,36.6
Great Western Hospitals NHS Foundation Trust,Doctors,488.1,289.8,7.4
Great Western Hospitals NHS Foundation Trust,Nurses & Midwives,1127.6,499.3,16.9
Great Western Hospitals NHS Foundation Trust,Support Staff,2099.8,424.7,28.6
Greater Manchester Mental Health NHS Foundation Trust,Doctors,202.8,120.4,3.1
Greater Manchester Mental Health NHS Foundation Trust,Nurses & Midwives,1177.7,521.5,17.6
Greater Manchester Mental Health NHS Foundation Trust,Support Staff,3987.7,806.6,54.2
Guy's and St Thomas' NHS Foundation Trust,Doctors,1971.8,1170.6,29.9
Guy's and St Thomas' NHS Foundation Trust,Nurses & Midwives,4719.7,2089.8,70.5
Guy's and St Thomas' NHS Foundation Trust,Support Staff,10216.4,2066.6,138.9
Hampshire Hospitals NHS Foundation Trust,Doctors,640.6,380.3,9.7
Hampshire Hospitals NHS Foundation Trust,Nurses & Midwives,1535.4,679.9,22.9
Hampshire Hospitals NHS Foundation Trust,Support Staff,3197.2,646.8,43.5
Hampshire and Isle of Wight Healthcare NHS Foundation Trust,Doctors,271.3,161.0,4.1
Hampshire and Isle of Wight Healthcare NHS Foundation Trust,Nurses & Midwives,2250.6,996.5,33.6
Hampshire and Isle of Wight Healthcare NHS Foundation Trust,Support Staff,5998.2,1213.3,81.6
Harrogate and District NHS Foundation Trust,Doctors,278.7,165.4,4.2
Harrogate and District NHS Foundation Trust,Nurses & Midwives,1276.6,565.3,19.1
Harrogate and District NHS Foundation Trust,Support Staff,2078.2,420.4,28.3
Herefordshire and Worcestershire Health and Care NHS Trust,Doctors,87.0,51.7,1.3
Herefordshire and Worcestershire Health and Care NHS Trust,Nurses & Midwives,889.5,393.8,13.3
Herefordshire and Worcestershire Health and Care NHS Trust,Support Staff,2246.9,454.5,30.6
Hertfordshire Community NHS Trust,Doctors,31.8,18.8,0.5
Hertfordshire Community NHS Trust,Nurses & Midwives,513.2,227.3,7.7
Hertfordshire Community NHS Trust,Support Staff,1234.6,249.7,16.8
Hertfordshire Partnership University NHS Foundation Trust,Doctors,153.1,90.9,2.3
Hertfordshire Partnership University NHS Foundation Trust,Nurses & Midwives,661.2,292.7,9.9
Hertfordshire Partnership University NHS Foundation Trust,Support Staff,2478.4,501.4,33.7
Hillingdon Hospitals NHS Foundation Trust,Doctors,342.0,203.1,5.2
Hillingdon Hospitals NHS Foundation Trust,Nurses & Midwives,747.4,330.9,11.2
Hillingdon Hospitals NHS Foundation Trust,Support Staff,1491.9,301.8,20.3
Homerton Healthcare NHS Foundation Trust,Doctors,373.1,221.5,5.7
Homerton Healthcare NHS Foundation Trust,Nurses & Midwives,998.3,442.0,14.9
Homerton Healthcare NHS Foundation Trust,Support Staff,1785.9,361.3,24.3
Hull University Teaching Hospitals NHS Trust,Doctors,858.6,509.7,13.0
Hull University Teaching Hospitals NHS Trust,Nurses & Midwives,1832.0,811.1,27.4
Hull University Teaching Hospitals NHS Trust,Support Staff,3983.8,805.9,54.2
Humber Teaching NHS Foundation Trust,Doctors,52.5,31.1,0.8
Humber Teaching NHS Foundation Trust,Nurses & Midwives,597.3,264.4,8.9
Humber Teaching NHS Foundation Trust,Support Staff,1742.6,352.5,23.7
Imperial College Healthcare NHS Trust,Doctors,1383.7,821.4,21.0
Imperial College Healthcare NHS Trust,Nurses & Midwives,3091.4,1368.8,46.2
Imperial College Healthcare NHS Trust,Support Staff,6112.9,1236.5,83.1
Isle of Wight NHS Trust,Doctors,177.2,105.2,2.7
Isle of Wight NHS Trust,Nurses & Midwives,470.1,208.2,7.0
Isle of Wight NHS Trust,Support Staff,1146.2,231.9,15.6
James Paget University Hospitals NHS Foundation Trust,Doctors,281.6,167.1,4.3
James Paget University Hospitals NHS Foundation Trust,Nurses & Midwives,723.1,320.2,10.8
James Paget University Hospitals NHS Foundation Trust,Support Staff,1784.7,361.0,24.3
Kent Community Health NHS Foundation Trust,Doctors,60.5,35.9,0.9
Kent Community Health NHS Foundation Trust,Nurses & Midwives,856.6,379.3,12.8
Kent Community Health NHS Foundation Trust,Support Staff,2561.5,518.1,34.8
Kent and Medway Mental Health NHS Trust,Doctors,148.0,87.8,2.2
Kent and Medway Mental Health NHS Trust,Nurses & Midwives,667.5,295.6,10.0
Kent and Medway Mental Health NHS Trust,Support Staff,1893.3,383.0,25.8
Kettering General Hospital NHS Foundation Trust,Doctors,389.0,230.9,5.9
Kettering General Hospital NHS Foundation Trust,Nurses & Midwives,1022.9,452.9,15.3
Kettering General Hospital NHS Foundation Trust,Support Staff,2025.9,409.8,27.6
King's College Hospital NHS Foundation Trust,Doctors,1581.4,938.9,24.0
King's College Hospital NHS Foundation Trust,Nurses & Midwives,3328.2,1473.7,49.7
King's College Hospital NHS Foundation Trust,Support Staff,4761.6,963.2,64.8
Kingston and Richmond NHS Foundation Trust,Doctors,415.6,246.8,6.3
Kingston and Richmond NHS Foundation Trust,Nurses & Midwives,1029.8,456.0,15.4
Kingston and Richmond NHS Foundation Trust,Support Staff,1770.5,358.2,24.1
Lancashire Teaching Hospitals NHS Foundation Trust,Doctors,715.1,424.6,10.9
Lancashire Teaching Hospitals NHS Foundation Trust,Nurses & Midwives,1725.3,763.9,25.8
Lancashire Teaching Hospitals NHS Foundation Trust,Support Staff,4213.6,852.4,57.3
Lancashire and South Cumbria NHS Foundation Trust,Doctors,207.9,123.4,3.2
Lancashire and South Cumbria NHS Foundation Trust,Nurses & Midwives,1468.9,650.4,22.0
Lancashire and South Cumbria NHS Foundation Trust,Support Staff,3790.8,766.8,51.6
Leeds Community Healthcare NHS Trust,Doctors,26.7,15.9,0.4
Leeds Community Healthcare NHS Trust,Nurses & Midwives,612.5,271.2,9.2
Leeds Community Healthcare NHS Trust,Support Staff,1583.4,320.3,21.5
Leeds Teaching Hospitals NHS Trust,Doctors,1639.6,973.4,24.9
Leeds Teaching Hospitals NHS Trust,Nurses & Midwives,3347.4,1482.2,50.0
Leeds Teaching Hospitals NHS Trust,Support Staff,9503.5,1922.4,129.3
Leeds and York Partnership NHS Foundation Trust,Doctors,133.9,79.5,2.0
Leeds and York Partnership NHS Foundation Trust,Nurses & Midwives,574.4,254.4,8.6
Leeds and York Partnership NHS Foundation Trust,Support Staff,1598.5,323.4,21.7
Leicestershire Partnership NHS Trust,Doctors,152.7,90.7,2.3
Leicestershire Partnership NHS Trust,Nurses & Midwives,1227.6,543.5,18.3
Leicestershire Partnership NHS Trust,Support Staff,3416.1,691.0,46.5
Lewisham and Greenwich NHS Trust,Doctors,705.9,419.0,10.7
Lewisham and Greenwich NHS Trust,Nurses & Midwives,1855.5,821.6,27.7
Lewisham and Greenwich NHS Trust,Support Staff,3010.4,608.9,40.9
Lincolnshire Community Health Services NHS Trust,Doctors,14.4,8.5,0.2
Lincolnshire Community Health Services NHS Trust,Nurses & Midwives,527.8,233.7,7.9
Lincolnshire Community Health Services NHS Trust,Support Staff,1032.4,208.8,14.0
Lincolnshire Partnership NHS Foundation Trust,Doctors,71.1,42.2,1.1
Lincolnshire Partnership NHS Foundation Trust,Nurses & Midwives,483.2,214.0,7.2
Lincolnshire Partnership NHS Foundation Trust,Support Staff,1557.5,315.0,21.2
Liverpool Heart and Chest Hospital NHS Foundation Trust,Doctors,121.5,72.1,1.8
Liverpool Heart and Chest Hospital NHS Foundation Trust,Nurses & Midwives,431.3,191.0,6.4
Liverpool Heart and Chest Hospital NHS Foundation Trust,Support Staff,878.3,177.7,11.9
Liverpool University Hospitals NHS Foundation Trust,Doctors,1148.3,681.7,17.4
Liverpool University Hospitals NHS Foundation Trust,Nurses & Midwives,2640.7,1169.2,39.5
Liverpool University Hospitals NHS Foundation Trust,Support Staff,7070.6,1430.3,96.2
Liverpool Women's NHS Foundation Trust,Doctors,129.4,76.9,2.0
Liverpool Women's NHS Foundation Trust,Nurses & Midwives,511.0,226.2,7.6
Liverpool Women's NHS Foundation Trust,Support Staff,596.5,120.7,8.1
London Ambulance Service NHS Trust,Doctors,2.9,1.7,0.0
London Ambulance Service NHS Trust,Nurses & Midwives,48.9,21.6,0.7
London Ambulance Service NHS Trust,Support Staff,6407.6,1296.1,87.1
London North West University Healthcare NHS Trust,Doctors,996.3,591.4,15.1
London North West University Healthcare NHS Trust,Nurses & Midwives,2093.7,927.1,31.3
London North West University Healthcare NHS Trust,Support Staff,3347.1,677.1,45.5
Maidstone and Tunbridge Wells NHS Trust,Doctors,672.3,399.1,10.2
Maidstone and Tunbridge Wells NHS Trust,Nurses & Midwives,1422.1,629.7,21.3
Maidstone and Tunbridge Wells NHS Trust,Support Staff,3455.9,699.1,47.0
Manchester University NHS Foundation Trust,Doctors,2368.3,1406.0,35.9
Manchester University NHS Foundation Trust,Nurses & Midwives,6393.0,2830.7,95.5
Manchester University NHS Foundation Trust,Support Staff,12427.7,2513.9,169.0
Medway NHS Foundation Trust,Doctors,486.7,288.9,7.4
Medway NHS Foundation Trust,Nurses & Midwives,1084.7,480.3,16.2
Medway NHS Foundation Trust,Support Staff,2251.9,455.5,30.6
Mersey Care NHS Foundation Trust,Doctors,174.9,103.9,2.7
Mersey Care NHS Foundation Trust,Nurses & Midwives,2400.6,1062.9,35.9
Mersey Care NHS Foundation Trust,Support Staff,5341.2,1080.5,72.6
Mersey and West Lancashire Teaching Hospitals NHS Trust,Doctors,827.4,491.2,12.6
Mersey and West Lancashire Teaching Hospitals NHS Trust,Nurses & Midwives,2127.7,942.1,31.8
Mersey and West Lancashire Teaching Hospitals NHS Trust,Support Staff,4624.4,935.5,62.9
Mid Cheshire Hospitals NHS Foundation Trust,Doctors,311.0,184.6,4.7
Mid Cheshire Hospitals NHS Foundation Trust,Nurses & Midwives,1089.8,482.5,16.3
Mid Cheshire Hospitals NHS Foundation Trust,Support Staff,2552.4,516.3,34.7
Mid Yorkshire Teaching NHS Trust,Doctors,675.5,401.0,10.2
Mid Yorkshire Teaching NHS Trust,Nurses & Midwives,1582.8,700.8,23.7
Mid Yorkshire Teaching NHS Trust,Support Staff,4548.8,920.2,61.9
Mid and South Essex NHS Foundation Trust,Doctors,1434.2,851.5,21.8
Mid and South Essex NHS Foundation Trust,Nurses & Midwives,3291.8,1457.6,49.2
Mid and South Essex NHS Foundation Trust,Support Staff,6626.9,1340.5,90.1
Midlands Partnership University NHS Foundation Trust,Doctors,141.1,83.7,2.1
Midlands Partnership University NHS Foundation Trust,Nurses & Midwives,1792.8,793.8,26.8
Midlands Partnership University NHS Foundation Trust,Support Staff,5419.2,1096.2,73.7
Milton Keynes University Hospital NHS Foundation Trust,Doctors,357.7,212.4,5.4
Milton Keynes University Hospital NHS Foundation Trust,Nurses & Midwives,844.5,373.9,12.6
Milton Keynes University Hospital NHS Foundation Trust,Support Staff,1896.8,383.7,25.8
Moorfields Eye Hospital NHS Foundation Trust,Doctors,226.5,134.5,3.4
Moorfields Eye Hospital NHS Foundation Trust,Nurses & Midwives,332.6,147.3,5.0
Moorfields Eye Hospital NHS Foundation Trust,Support Staff,1407.7,284.8,19.1
Newcastle Upon Tyne Hospitals NHS Foundation Trust,Doctors,1325.4,786.8,20.1
Newcastle Upon Tyne Hospitals NHS Foundation Trust,Nurses & Midwives,3331.3,1475.1,49.8
Newcastle Upon Tyne Hospitals NHS Foundation Trust,Support Staff,6841.8,1384.0,93.1
Norfolk Community Health and Care NHS Trust,Doctors,9.3,5.6,0.1
Norfolk Community Health and Care NHS Trust,Nurses & Midwives,525.2,232.6,7.8
Norfolk Community Health and Care NHS Trust,Support Staff,1267.9,256.5,17.2
Norfolk and Norwich University Hospitals NHS Foundation Trust,Doctors,838.1,497.6,12.7
Norfolk and Norwich University Hospitals NHS Foundation Trust,Nurses & Midwives,1697.4,751.6,25.4
Norfolk and Norwich University Hospitals NHS Foundation Trust,Support Staff,3842.4,777.2,52.3
Norfolk and Suffolk NHS Foundation Trust,Doctors,169.0,100.3,2.6
Norfolk and Suffolk NHS Foundation Trust,Nurses & Midwives,898.7,397.9,13.4
Norfolk and Suffolk NHS Foundation Trust,Support Staff,2643.6,534.8,36.0
North Bristol NHS Trust,Doctors,817.1,485.1,12.4
North Bristol NHS Trust,Nurses & Midwives,1810.8,801.8,27.1
North Bristol NHS Trust,Support Staff,4624.7,935.5,62.9
North Cumbria Integrated Care NHS Foundation Trust,Doctors,421.9,250.4,6.4
North Cumbria Integrated Care NHS Foundation Trust,Nurses & Midwives,1288.2,570.4,19.3
North Cumbria Integrated Care NHS Foundation Trust,Support Staff,3163.4,639.9,43.0
North East Ambulance Service NHS Foundation Trust,Doctors,0.3,0.1,0.0
North East Ambulance Service NHS Foundation Trust,Nurses & Midwives,88.2,39.1,1.3
North East Ambulance Service NHS Foundation Trust,Support Staff,2673.9,540.9,36.4
